# level nx ny res_l2
4 8 8 7.796709e-07
1 64 64 1.342301e-02
2 32 32 8.516361e-06
3 16 16 2.707622e-06
4 8 8 6.708453e-07
1 64 64 1.330756e-02
2 32 32 7.328721e-06
3 16 16 2.329700e-06
4 8 8 5.772095e-07
1 64 64 1.319323e-02
2 32 32 6.306999e-06
3 16 16 2.004530e-06
4 8 8 4.966436e-07
1 64 64 1.307999e-02
2 32 32 5.428054e-06
3 16 16 1.724749e-06
4 8 8 4.273230e-07
1 64 64 1.296783e-02
2 32 32 4.671980e-06
3 16 16 1.484021e-06
4 8 8 3.676783e-07
1 64 64 1.285673e-02
2 32 32 4.021653e-06
3 16 16 1.276895e-06
4 8 8 3.163588e-07
1 64 64 1.274669e-02
2 32 32 3.462341e-06
3 16 16 1.098682e-06
4 8 8 2.722025e-07
1 64 64 1.263767e-02
2 32 32 2.981372e-06
3 16 16 9.453463e-07
4 8 8 2.342095e-07
1 64 64 1.252968e-02
2 32 32 2.567849e-06
3 16 16 8.134154e-07
4 8 8 2.015197e-07
1 64 64 1.242269e-02
2 32 32 2.212400e-06
3 16 16 6.999022e-07
4 8 8 1.733927e-07
1 64 64 1.231669e-02
2 32 32 1.906964e-06
3 16 16 6.022363e-07
4 8 8 1.491917e-07
1 64 64 1.221167e-02
2 32 32 1.644614e-06
3 16 16 5.182061e-07
4 8 8 1.283688e-07
1 64 64 1.210761e-02
2 32 32 1.419395e-06
3 16 16 4.459088e-07
4 8 8 1.104523e-07
1 64 64 1.200451e-02
2 32 32 1.226188e-06
3 16 16 3.837073e-07
4 8 8 9.503668e-08
1 64 64 1.190235e-02
2 32 32 1.060596e-06
3 16 16 3.301930e-07
4 8 8 8.177281e-08
1 64 64 1.180111e-02
2 32 32 9.188425e-07
3 16 16 2.841542e-07
4 8 8 7.036038e-08
1 64 64 1.170080e-02
2 32 32 7.976814e-07
3 16 16 2.445481e-07
4 8 8 6.054095e-08
1 64 64 1.160139e-02
2 32 32 6.943243e-07
3 16 16 2.104777e-07
4 8 8 5.209221e-08
1 64 64 1.150287e-02
2 32 32 6.063724e-07
3 16 16 1.811716e-07
4 8 8 4.482282e-08
1 64 64 1.140524e-02
2 32 32 5.317590e-07
3 16 16 1.559658e-07
4 8 8 3.856820e-08
1 64 64 1.130849e-02
2 32 32 4.686975e-07
3 16 16 1.342893e-07
4 8 8 3.318670e-08
1 64 64 1.121260e-02
2 32 32 4.156365e-07
3 16 16 1.156510e-07
4 8 8 2.855650e-08
1 64 64 1.111756e-02
2 32 32 3.712197e-07
3 16 16 9.962869e-08
4 8 8 2.457272e-08
1 64 64 1.102337e-02
2 32 32 3.342517e-07
3 16 16 8.585899e-08
4 8 8 2.114517e-08
1 64 64 1.093001e-02
2 32 32 3.036712e-07
3 16 16 7.402974e-08
4 8 8 1.819624e-08
1 64 64 1.083748e-02
2 32 32 2.785288e-07
3 16 16 6.387250e-08
4 8 8 1.565915e-08
1 64 64 1.074576e-02
2 32 32 2.579741e-07
3 16 16 5.515654e-08
4 8 8 1.347644e-08
1 64 64 1.065485e-02
2 32 32 2.412478e-07
3 16 16 4.768373e-08
4 8 8 1.159870e-08
1 64 64 1.056474e-02
2 32 32 2.276774e-07
3 16 16 4.128373e-08
4 8 8 9.983385e-09
1 64 64 1.047542e-02
2 32 32 2.166765e-07
3 16 16 3.581031e-08
4 8 8 8.593927e-09
1 64 64 1.038689e-02
2 32 32 2.077421e-07
3 16 16 3.113779e-08
4 8 8 7.398845e-09
1 64 64 1.029912e-02
2 32 32 2.004510e-07
3 16 16 2.715816e-08
4 8 8 6.371081e-09
1 64 64 1.021212e-02
2 32 32 1.944541e-07
3 16 16 2.377837e-08
4 8 8 5.487338e-09
1 64 64 1.012588e-02
2 32 32 1.894681e-07
3 16 16 2.091817e-08
4 8 8 4.727600e-09
1 64 64 1.004039e-02
2 32 32 1.852667e-07
3 16 16 1.850795e-08
4 8 8 4.074646e-09
1 64 64 9.955643e-03
2 32 32 1.816717e-07
3 16 16 1.648704e-08
4 8 8 3.513670e-09
1 64 64 9.871630e-03
2 32 32 1.785441e-07
3 16 16 1.480213e-08
4 8 8 3.031949e-09
1 64 64 9.788343e-03
2 32 32 1.757765e-07
3 16 16 1.340594e-08
4 8 8 2.618542e-09
1 64 64 9.705777e-03
2 32 32 1.732865e-07
3 16 16 1.225629e-08
4 8 8 2.264048e-09
1 64 64 9.623924e-03
2 32 32 1.710111e-07
